node_index,position_nm,domain,is_free_dof,classical_displacement_nm,vqls_displacement_nm,absolute_error_nm
141,141.0,MD,1,7.094852515911449,7.58766220168193,0.4928096857704807
142,142.0,MD,1,7.145170618861173,7.641465057658306,0.49629443879713264
143,143.0,MD,1,7.195488721810898,7.6952609293538305,0.4997722075429323
144,144.0,MD,1,7.245806824760622,7.749045675507918,0.5032388507472954
145,145.0,MD,1,7.296124927710347,7.802849313066554,0.5067243853562076
146,146.0,MD,1,7.346443030660071,7.856643011914633,0.5101999812545621
147,147.0,MD,1,7.396761133609794,7.910433889169194,0.5136727555593996
148,148.0,MD,1,7.447079236559517,7.964226911158885,0.517147674599368
149,149.0,MD,1,7.49739733950924,8.018018257611425,0.5206209181021855
150,150.0,MD,1,7.547715442458963,8.071813457405248,0.5240980149462855
151,151.0,MD,1,7.598033545408687,8.125618852231085,0.5275853068223979
152,152.0,MD,1,7.648351648358411,8.17942550294941,0.531073854590999
153,153.0,MD,1,7.698669751308137,8.233236101401358,0.534566350093221
154,154.0,MD,1,7.748987854257862,8.287011662533294,0.5380238082754314
155,155.0,MD,1,7.799305957207587,8.34080919179922,0.5415032345916329
156,156.0,MD,1,7.8496240601573115,8.394598270867508,0.5449742107101967
157,157.0,MD,1,7.899942163107037,8.448366191200893,0.5484240280938568
158,158.0,MD,1,7.950260266056761,8.50216428084623,0.5519040147894696
159,159.0,MD,1,8.000578369006485,8.555943567992905,0.5553651989864203
160,160.0,MD,1,8.050896471956209,8.609729623919412,0.5588331519632028
161,161.0,MD,1,8.101214574905933,8.663473582747807,0.5622590078418739
162,162.0,MD,1,8.151532677855657,8.717273867861117,0.5657411900054594
163,163.0,MD,1,8.201850780805382,8.77104290993149,0.5691921291261082
164,164.0,MD,1,8.252168883755106,8.824827707395713,0.5726588236406069
165,165.0,MD,1,8.30248698670483,8.878604800716987,0.5761178140121572
166,166.0,MD,1,8.352805089654554,8.932401930313043,0.579596840658489
167,167.0,MD,1,8.403123192604276,8.986184675747527,0.5830614831432506
168,168.0,MD,1,8.453441295553999,9.039983748787758,0.5865424532337595
169,169.0,MD,1,8.503759398503723,9.093751750145476,0.5899923516417527
170,170.0,MD,1,8.554077501453447,9.147529462861423,0.5934519614079754
171,171.0,MD,1,8.604395604403171,9.20130733909843,0.5969117346952579
172,172.0,MD,1,8.654713707352895,9.255103777695044,0.600390070342149
173,173.0,MD,1,8.70503181030262,9.308856143616522,0.6038243333139022
174,174.0,MD,1,8.755349913252344,9.362623409823287,0.6072734965709436
175,175.0,MD,1,8.805668016202068,9.416416548426582,0.6107485322245143
176,176.0,MD,1,8.855986119151792,9.470194976904956,0.6142088577531641
177,177.0,MD,1,8.906304222101516,9.523932950416304,0.6176287283147879
178,178.0,MD,1,8.956622325051242,9.577686572706742,0.6210642476555002
179,179.0,MD,1,9.006940428000966,9.631449944594353,0.6245095165933865
180,180.0,MD,1,9.057258530950692,9.685216644979965,0.6279581140292727
181,181.0,MD,1,9.107576633900416,9.738976566755579,0.631399932855162
182,182.0,MD,1,9.15789473685014,9.792738804449424,0.6348440675992837
183,183.0,MD,1,9.208212839799865,9.846484193634847,0.6382713538349822
184,184.0,MD,1,9.258530942749589,9.900227835139091,0.6416968923895023
185,185.0,MD,1,9.308849045699313,9.953947831137466,0.6450987854381527
186,186.0,MD,1,9.359167148649036,10.007690240470843,0.6485230918218079
187,187.0,MD,1,9.40948525159876,10.061427979402339,0.6519427278035792
188,188.0,MD,1,9.459803354548484,10.115174679375068,0.655371324826584
189,189.0,MD,1,9.510121457498206,10.168871762654694,0.658750305156488
190,190.0,MD,1,9.560439560447929,10.222609438692894,0.6621698782449652
191,191.0,MD,1,9.610757663397653,10.276309522553898,0.6655518591562455
192,192.0,MD,1,9.661075766347375,10.329996175144355,0.6689204087969802
193,193.0,MD,1,9.7113938692971,10.38357879248329,0.6721849231861903
194,194.0,MD,1,9.761711972246824,10.437282373326013,0.6755704010791899
195,195.0,MD,1,9.812030075196548,10.490987517119285,0.6789574419227371
196,196.0,MD,1,9.862348178146272,10.544690773797752,0.6823425956514804
197,197.0,MD,1,9.912666281095998,10.598339233971526,0.6856729528755281
198,198.0,MD,1,9.962984384045722,10.652066698679402,0.68908231463368
199,199.0,MD,1,10.013302486995448,10.705781963888214,0.6924794768927658
200,200.0,MD,1,10.063620589945172,10.759496758730323,0.6958761687851513
201,201.0,MD,1,10.113938692894896,10.813140393902767,0.6992017010078708
202,202.0,MD,1,10.16425679584462,10.866851381265011,0.7025945854203908
203,203.0,MD,1,10.214574898794345,10.920558990348447,0.705984091554102
204,204.0,MD,1,10.26489300174407,10.974273470514603,0.709380468770533
205,205.0,MD,1,10.315211104693796,11.027925157027857,0.7127140523340607
206,206.0,MD,1,10.365529207643522,11.081621293670011,0.7160920860264888
207,207.0,MD,1,10.415847310593247,11.13530931266343,0.7194620020701841
208,208.0,MD,1,10.466165413542972,11.18897565145128,0.7228102379083072
209,209.0,MD,1,10.516483516492698,11.242560974862302,0.7260774583696037
