time_ps,atom_index,full_lj_displacement_nm,full_lj_native_velocity_nm_per_ps,continuous_k2_displacement_nm,continuous_k2_native_velocity_nm_per_ps,unprojected_be_displacement_nm,unprojected_be_native_velocity_nm_per_ps,relifted_be_displacement_nm,relifted_be_native_velocity_nm_per_ps
0.09,0,0.007565037117965508,-0.048951433104011136,0.00757305426082882,-0.048895768855577615,0.0075439557430686125,-0.04834082114789354,0.007547700569261482,-0.048206925282393384
0.09,1,0.002333473291705563,0.044583070625605715,0.0023261069258570985,0.04455631107794621,0.0023427163146371374,0.043779130855314034,0.0023389676296551045,0.043644087912795164
0.09,2,0.00010148959032893027,0.004368362478405434,0.00010083881331412125,0.004339457777631377,0.00011332794229425689,0.004561690292579491,0.00011333180108342216,0.004562837369598128
0.092,0,0.007466483523238715,-0.04959800214232889,0.00747460569767488,-0.04954865398123842,0.007446001379207235,-0.04897718193068905,0.007450025786328863,-0.048837391466309214
0.092,1,0.002423014399072635,0.044952199259573694,0.0024156027174029268,0.04493367410117917,0.0024309850461997425,0.044134365781302365,0.00242695409634638,0.04399323334563796
0.092,2,0.00011050207768865136,0.004645802882755205,0.00010979158492223469,0.004614979880059209,0.00012301357459303024,0.004842816149386683,0.0001230201173247645,0.004844158120671165
0.094,0,0.007366661802962957,-0.05021953145288658,0.007374876270508492,-0.05017660131517841,0.007346823679830883,-0.049588849688175944,0.007351139404616695,-0.049443190856084146
0.094,1,0.0025132586710114872,0.04528620229136274,0.0025058183201224736,0.045276084896340545,0.0025198952917411103,0.04445512277068409,0.0025155699208828626,0.04430791226824165
0.094,2,0.00012007952602555763,0.004933329161523846,0.0001193054093690757,0.004900516418837807,0.0001332810284280139,0.005133726917491838,0.00013329067450044933,0.005135278587842399
0.096,0,0.007265622193585994,-0.05081586714253281,0.007273916038082,-0.05077943076111119,0.007246472339879812,-0.050175669975536005,0.007251091032437827,-0.0500241860894342
0.096,1,0.002604135668837388,0.04558489721715706,0.002596683615245199,0.04558333406031488,0.002609377765835753,0.04474123704732151,0.002604745875280816,0.0445879771989765
0.096,2,0.00013024213757662062,0.0052309699253757546,0.00012940034667284083,0.005196096700796244,0.00014414989428444285,0.00543443292821447,0.0001441630922813645,0.005436208890457577
0.098,0,0.007163415220799291,-0.05138687383414077,0.007171775400921326,-0.05135698063274181,0.0071449973275492015,-0.0507375061653052,0.007149930516828318,-0.0505802578047551
0.098,1,0.002695574618710314,0.045848131380443254,0.0026881280946841946,0.04585524168997536,0.002699362911272378,0.04499257271831258,0.0026944124950164508,0.04483330986781748
0.098,2,0.00014101016049039773,0.005538742453697518,0.00014009650439452016,0.005501738942766384,0.00015563976117842802,0.005744933446992591,0.00015565698815523957,0.005746947936937512
0.1,0,0.00706009166267196,-0.051932434497315966,0.007068505064566546,-0.05190910758994572,0.007042448848854852,-0.05127423934717445,0.0070477079078622665,-0.051111304483025456
0.1,1,0.002787504471284417,0.04607578192205033,0.0027800809200873426,0.0460916574285834,0.0027897809567811018,0.045209022754361734,0.002784500137310716,0.045043821147132665
0.1,2,0.0001524038660436249,0.005856652575265648,0.00015141401534615157,0.005817450161362249,0.0001677701943640534,0.006065216592812664,0.00016779195482702493,0.006067483335892669
0.10200000000000001,0,0.006955702513142032,-0.05245245026095874,0.006964156002959525,-0.052435686555614536,0.006938877312434108,-0.051785768210371716,0.006944473423318086,-0.05161724227209028
0.10200000000000001,1,0.0028798539612321767,0.046267755701980315,0.002872470981952608,0.046292460483537454,0.00288056197466679,0.04539050894284406,0.0028749390392195685,0.04521945095442633
0.10200000000000001,2,0.00016444352562579342,0.006184694558978426,0.00016337301508790664,0.006143226072077019,0.0001805607128991086,0.006395259267527616,0.00018058753746235252,0.006397791317663823
0.10400000000000001,0,0.006850298945899009,-0.052946840209381,0.006858779422016837,-0.0529366106135765,0.006834333294615923,-0.05227200890909199,0.006840277413730048,-0.05209800479401891
0.10400000000000001,1,0.0029725516665791707,0.04642398919505151,0.0029652269587502967,0.04645755961561937,0.0029716359382944138,0.045536981813811724,0.0029656593754744678,0.04536016812744991
0.10400000000000001,2,0.00017714938752182312,0.0065228510143295,0.00017599361923290635,0.006479050997957051,0.00019403076708966903,0.006735027095280227,0.00019406321079549026,0.006737836666568873
0.106,0,0.006743932278690533,-0.053415541161778525,0.006752426723425423,-0.05341179088802747,0.006728867504792999,-0.05273289491146291,0.0067351703278575505,-0.052553542936249226
0.106,1,0.003065526067808071,0.04654444835901054,0.0030582773759954443,0.04658689309992051,0.0030629327793728588,0.045648420539222086,0.0030565913160187155,0.045465970272123776
0.106,2,0.00019054165350139876,0.006871092802768002,0.0001892959005791723,0.006824897788106877,0.00020819971583415059,0.007084474372240794,0.0002082383561237409,0.007087572664125324
0.108,0,0.006636653938086868,-0.05385850743647511,0.006645149468697483,-0.05386115640493543,0.006622530751127889,-0.05316837683255521,0.006629202678603056,-0.052983824627246844
0.108,1,0.0031587056066700292,0.04662912847661719,0.0031515506652139303,0.046680428658662496,0.0031543824449842515,0.045724832805696496,0.0031476650831861967,0.04553688358374058
0.108,2,0.0002046404552431057,0.007229378959857937,0.0002032998660886271,0.007180727746272839,0.00022308680388786795,0.007443544026858678,0.0002231322382107532,0.007446941043506157
0.11,0,0.0065285154247296485,-0.054275710600865085,0.006536999343520185,-0.05428465393590642,0.006515373906623959,-0.05357842225196545,0.006522425009408215,-0.05338883459742161
0.11,1,0.00325201874465631,0.0466780539723842,0.003244975222746316,0.04673816336616026,0.0032459149543065478,0.04576625466114792,0.0032388110084700917,0.04557296264194746
0.11,2,0.00021946583061404387,0.0075976566284809,0.00021802543373354146,0.007546490569746054,0.00023871113906950291,0.007812167590817484,0.00023876398212170128,0.007815871955474028
0.112,0,0.006419568279093766,-0.05466713920781182,0.006428028122434756,-0.05468224782502449,0.006407447875590924,-0.05396301551651695,0.006414887861156103,-0.0537685741260554
0.112,1,0.003345394021078643,0.04669127820432077,0.003338479468333987,0.04676012352620684,0.0033374604549778358,0.04577275033564397,0.0033299595888301534,0.04557429018003038
0.112,2,0.00023503769982759253,0.00797586100349106,0.0002334924092313008,0.00792212429881753,0.0002550916694312488,0.008190265180872925,0.0002551525500137511,0.008194283946024903
